name,capital,code
Andhra Pradesh,Amaravati,AP
Arunachal Pradesh,Itanagar,AR
Assam,Dispur,AS
Bihar,Patna,BR
Chhattisgarh,Raipur,CT
Goa,Panaji,GA
Gujarat,Gandhi nagar,GJ
Haryana,Chandigarh,HR
Himachal Pradesh,Shimla,HP
Jammu and Kashmir,Srinagar (summer)Jammu (winter),JK
Jharkhand,Ranchi,JH
Karnataka,Bangalore,KA
Kerala,Tiruvanananthapuram,KL
Madhya Pradesh,Bhopal,MP
Maharashtra,Mumbai,MH
Manipur,Imphal,MN
Meghalaya,Shillong,ML
Mizoram,Aizawl,MZ
Nagaland,Kohima,NL
Odisha,Bhubaneswar,OD
Punjab,Chandigarh,PB
Rajasthan,Jaipur,RJ
Sikkim,Gangtok,SK
Tamil Nadu,Chennai,TN
Telangana,Hyderabad,TS
Tripura,Agartala,TR
Uttar Pradesh,Lucknow,UP
Uttarakhand,Dehra Dun,UA
West Bengal,Kolkata,WB
